stagename,dateOfBirth
Norma Crane,
Nick Cravat,1911
Frank Craven,1875
Gemma Craven,1950
Andrew Crawford,1917
Broderick Crawford,1910
Joan Crawford,1906
John Crawford," "
Michael Crawford,1942
Laird Cregar,1916
Plett Creighton,
Jack Creley,
Richard Crenna,1926
Robert Crenna,
Laura Hope Crews,1880
Bernard Cribbins,1928
Michael Crichton,
Lou Crisoula,
Donald Crisp,1880
Linda Cristal,1936
Barry Crocker,
Dick Crockett,
Richard Cromwell,1910
Hume Cronyn,1911
Bing Crosby,1904
Cathy Lee Crosby,
Harry Crosby,
Kim Crosby,
Lindsay Crosby,1938
Mary Crosby,
Henrietta Crosman,1861
Ben Cross,1948
Rupert Crosse,1927
Scatman Crothers,
Lindsay Crouse,
Pat Crowley,1929
Andrew Cruickshank,1907
Tom Cruise,1961
Rosalie Crutchley,1921
James Cruze,1884
Billy Crystal,1948
Riccardo Cucciola,1932
Macaulay Culkin,1980
Kieran Culkin,1982
John Cullum,
Robert Culp,1930
Roland Culver,1900
Dorothy Cumming,
Constance Cummings,1910
Bob Cummings,1908
Quinn Cummings,
Susan Cummings,
Peggy Cummins,
Cecil Cunningham,1888
John Cunningham,
Alain Cuny,1908
Lee Curreri,
Finlay Currie,1878
Michael Currie,
Sondra Currie,
Steve Curry,
Tim Curry,1946
Jane Curtin,
Valerie Curtin,
Alan Curtis,1909
Jamie Lee Curtis,1958
Kelly Curtis,
Ken Curtis,1916
Tony Curtis,1925
George Curzon,1896
Cyril Cusack,1910
Peter Cushing,1913
Allan Cuthbertson,1920
Zbigniew Cybulski,1927
Maryam DAbo,
Olivia DAbo,1970
Willem Dafoe,
Lil Dagover,
Arlene Dahl,1924
Eva Dahlbeck,1920
Dan Daily,1914
Elizabeth Daily,
Irene Daily,
Amy Dalby,1888
Charles Dale,1881
Jennifer Dale,
Jim Dale,1935
Marcel Dalio,1900
John Dall,1918
Beatrice Dalle,
Timothy Dalton,1944
Roger Daltrey,1944
James Daly,1918
Tyne Daly,1947
Mark Damon,
Vic Damone,1929
Claude Dampier,1879
Bill Dana,
Leona Dana,
Leora Dana,1923
Mara Danaud,
Charles Dance,
Tom dAndrea,
Dorothy Dandridge,1923
Karl Dane,1886
Beverly D'Angelo,1854
Mirella D'Angelo,
Rodney Dangerfield,
Henry Daniell,1894
Suzanne Danielle,
Anthony Daniels,
Bebe Daniels,1901
Jeff Daniels,
William Daniels,1927
Blythe Danner,1945
Sybil Danning,
Royal Dano,1922
Ted Danson,1952
Michael Dante,1931
Helmut Dantine,1917
Ray Danton,1931
Tony Danza,
Patti D'Arbanville,
Kim Darby,1947
Denise Darcel,1925
Alex D'Arcy,1908
Ruth Dardick,
Frank Darien,
Bobby Darin,1936
Linda Darnell,1921
James Darren,1936
Danielle Darrieux,1917
Jane Darwell,1880
Howard daSilva,1909
Jules Dassin,1911
Jean Daste,
Claude Dauphin,1903
Elyssa Davalos,
Doris Davenport,
Harry Davenport,1866
Nigel Davenport,1928
Thayer David,1926
Eileen Davidson,
John Davidson,1886
William B. Davidson,1888
John Howard Davies,1939
Lolita Davidovitch,
Marion Davies,1897
Rupert Davies,1916
Bette Davis,1908
Brad Davis,1950
Clifton Davis,
Geena Davis,
Gene Davis,
Jim Davis,1915
Joan Davis,1907
Judy Davis,1956
Larry Davis,
Lyndon Davis,
Mac Davis,
Miles Davis,
Nancy Davis,1956
Ossie Davis,1917
Phyllis Davis,
Roger Davis,
Sammy Davis~jr.,1925
Sonny Carl Davis,
Bruce Davison,1948
Marjorie Daw,
Marpessa Dawn,
Anthony Dawson,1916
Clayton Day,
Dennis Day,
Doris Day,1924
Frances Day,1908
Josette Day,1914
Laraine Day,1917
Lawrence Day,
Marceline Day,
Daniel DayLewis,1957
Brian Deacon,
Richard Deacon,1923
Isabel Dean,1918
Jimmy Dean,1931
Laura Dean,
Darcia Deane,
Maria DeAragon,
Brenda deBanzie,1915
Kristine DeBell,
John DeBello,
Yvonne deBray,1889
Nigel deBrulier,1878
Rosemary de Camp,1913
Yvonne deCarlo,1922
Jeanne DeCasalis,1896
Pedro DeCordoba,1881
Arturo deCordova,1908
Ted DeCorsia,1904
Frances Dee,1908
Ruby Dee,1923
Sandra Dee,1942
Ermelinda deFelice,
Eduardo DeFilippo,1900
Luca DeFilippo,
Peppino DeFillippo,
Willem Defoe,
Don Defore,1917
Louis deFunes,1908
Pia Degermark,1949
Nicholas DeGunzberg,
Gloria deHaven,1924
Olivia deHavilland,1916
John Dehner,1915
Albert Dekker,1905
Frank deKova,
Marguerite DeLaMotte,1903
Suzy Delair,1916
Cyril Delevanti,1887
Alain Delon,1935
Daniele Delorme,1926
Carla DelPoggio,
Julie Delpy,1969
Dolores delRio,1905
Dom DeLuise,1933
Robert Deman,
William Demarest,1892
Derrick deMarney,1906
Terrence deMarney,1909
Maria deMadeiros,
Cecil B. DeMille,1881
Katherine DeMille,1911
Mylene Demongeot,1936
Rebecca deMorney,
Carol Dempster,1901
Judi Dench,1934
Catherine Deneuve,1943
Maurice Denham,1909
Robert deNiro,1943
Michael Denison,1915
Brian Dennehy,1940
Charles Denner,1926
Richard Denning,1914
Sandy Dennis,1937
Raymond Denny,
Reginald Denny,1891
Bob Denver,1935
Rossy dePalma,
Elisabeth Depardieu,
Gerard Depardieu,1948
Frederic dePasquale,
Jonny Depp,1963
Lya dePutti,1901
"Emilie Dequenne ",1971
Bo Derek,1957
John Derek,1926
Joe deRita," "
Bruce Dern,1936
Laura Dern,1967
Richard Derr,1917
Cleavant Derricks,
Jean Desailly,1920
Anne DeSalvo,
Joe DeSantis,
Vittorio DeSica,1901
Ivan Desny,1922
Edward DeSouza,1933
Ed DeStefane,
Maruschka Detmers,
Ernst Deutsch,1890
William Devane,
William Devane,
Andy Devine,1905
Danny deVito,
Joe Devlin,
William Devlin,
Patrick Dewaere,
Brandon deWilde,1942
Colleen Dewhurst,1926
William Dewhurst,
Billy DeWolf,
Francis DeWolff,1913
Elliot Dexter,
Susan Dey,
Cliff DeYoung,1945
Khigh Dheigh,1910
Selma Diamond,
Cameron Diaz,1970
Bobby DiCicco,
Lucinda Dickey,
Angie Dickinson,1931
John Dierkes,1905
William Dieterle,1893
Marlene Dietrich,1901
Anton Diffring,1918
Arthur Dignam,
Basil Dignam,1905
Mark Dignam,1909
Phyllis Diller,1917
Bradford Dillman,1930
Matt Dillon,1964
Melinda Dillon,1939
Richard Dimbleby,
Charles Dingle,1887
Celine Dion,1969
Piero DiOrio,
Dante DiPaolo,
Bob Dishy,
Divine,
Loretta Divine,
Richard Dix,1894
Donna Dixon,
Ivan Dixon,
Jean Dixon,1896
Gitty Djamal,
Joe Dobisch,
Tamara Dobson,1947
Claire Dodd,1908
John Doe,1953
Shannon Doherty,1971
William Doherty,
Faith Domergue,1925
Placido Domingo,1940
Arturo Dominici,
Troy Donahue,1936
James Donald,1917
Peter Donat,
Robert Donat,1905
Ludwig Donath,1900
Ruth Donelly,
Yolande Donlan,1920
Brian Donlevy,1899
Jeff Donnell,1921
Donal Donnelly,
Patrice Donnelly,
Ruth Donnelly,1896
Amanda Donohue,1962
Donovan,1919
King Donovan,
James Doohan,
Paul Dooley,1928
Robert Doqui,
Karin Dor,
Ann Doran,1914
Stephen Dorff,
Angela Dorian,
Francoise Dorleac,1941
Dolores Dorn,1935
Philip Dorn,1905
Sandra Dorn,1925
Diana Dors,1931
Fifi D\'Orsay,1904
Gabrielle Dorziat,1880
Susana Dosamantes,
Roy Dotrice,1923
Catherine Doucet,1875
Diana Douglas,
Donald Douglas,1905
Donna Douglas,1933
Kent Douglas,
Kirk Douglas,1916
Melvyn Douglas,1901
Michael Douglas,1945
Paul Douglas,1907
Robert Douglas,1909
Robyn Douglas,
Sarah Douglas,
Brad Dourif,1950
Billie Dove,1904
Peggy Dow,1928
Ned Dowd,
Doris Dowling,1921
Joan Dowling,1929
LesleyAnne Down,1954
Robert Downey~jr.,1965
Johnny Downs,1913
Betsy Drake,
Charles Drake,1914
Dona Drake,1920
Frances Drake,1908
Paul Drake,
Tom Drake,1918
Patrick Dray,
Alfred Drayton,1881
Alex Dreier,1916
Sonia Dresdel,1909
Louise Dresser,1881
Marie Dressler,1869
Ellen Drew,1915
Georgiana Drew,
Richard Dreyfuss,1948
Bobby Driscoll,1937
Kate Driver,1969
Minnie Driver,1971
Joanne Dru,1923
James Drury,1934
Don Dubbins,1929
Davd Duchovny,1960
Lesley Dudley,
Pete Duel,1940
Howard Duff,1917
Julia Duffy,1951
Patrick Duffy,
Dennis Dugan,1948
Tom Dugan,1889
Andrew Duggan,1923
Richard Duggan,
Olympia Dukakis,
David Dukes,
Keir Dullea,1936
Jane Dulo,
Sandra Dumas,
Gerald duMaurier,
Douglass Dumbrille,1890
Ralph Dumke,1900
Margaret Dumont,1889
Faye Dunaway,1941
Dixie Dunbar,1919
Archie Duncan,1914
Carmen Duncan,
Isadora Duncan,
Mary Duncan,1903
Sandy Duncan,1946
Victor Dunlop,
Emma Dunn,1875
James Dunn,1905
Liam Dunn,
Michael Dunn,1935
Robert Dunn,
Griffin Dunne,1955
Irene Dunne,1901
Steve Dunne,
Mildred Dunnock,1904
Don Dunphy,
Minnie Dupree,1873
Ann Duprey,
June Duprez,1918
Paul Dupuis,1916
Jimmy Durante,1893
Anthony Durbee,
Deanna Durbin,1921
Charles Durning,1933
Monique Dury,
Dan Duryea,1907
Robert Duvall,1931
Shelley Duvall,1949
Ann Dvorak,1912
Peter Dvorsky,
Leslie Dwyer,1906
Franklin Dyall,1874
Valentine Dyall,1908
Cameron Dye,
Bob Dylan,
Richard Dysart,
William Dysart,
George Dzunda,
George Eastman,
Marilyn Eastman,
Alison Eastwood,
Clint Eastwood,1930
Francesca Eastwood,1994
Kimber Eastwood,
Kyle Eastwood,
Mary Eaton,1901
Shirley Eaton,
Horst Ebersberg,
Christine Ebersole,
Buddy Ebsen,1908
Maude Eburne,1875
Eileen Eckhart,
Gosta Eckman~sr.,
Gosta Eckman,
Hasse Eckman,1915
Hallie Eckstein,
Helen Jerome Eddy,1897
Nelson Eddy,1901
Herb Edelman,1930
Barbara Eden,1934
Elizabeth Edmonds,
Anthony Edwards,
Blake Edwards,1922
Cliff Edwards,1895
Henry Edwards,1882
James Edwards,1922
Jennifer Edwards,
Luke Edmonds,
Snitz Edwards,
Vince Edwards,1928
Eddie Egan,1924
Richard Egan,1921
Julie Ege,1943
Samantha Eggar,1939
Lisa Eichhorn,1952
Jill Eikenberry,1947
Lisa Eilbacher,
Janet Eilber,
Sally Eilers,1908
Anthony Eisley,
Ike Eisenmann,
Anita Ekberg,1931
Britt Ekland,1942
Jack Elam,1916
John Eldredge,1917
Florence Eldridge,1901
Hector Elizondo,1936
Duke Ellington,
Laura Elliot,1929
Biff Elliott,
Denholm Elliott,1922
Frank Elliott,
Jane Elliott,
Robert Elliott,1879
Sam Elliott,1944
Stephen Elliott,
`Wild Bill' Elliott,1904
Edward Ellis,1872
Mary Ellis,1900
Patricia Ellis,1916
Robin Ellis,
Art Ellison,
Frank Ellison,1910
James Ellison,1910
Michael Elphick,1946
Isobel Elsom,1893
Sallee Elyse,
Faye Emerson,1917
Hope Emerson,1897
Roy Emerton,1892
Dick Emery,1918
Gilbert Emery,1875
Robert Emhardt,1916
Michael Emil,
Fred Emney,1900
Robert Englund,
Rene Enriquez,1932
Henry Ephron,1911
Margaret Eppie,1930
Richard Erdmann,1925
Doc Erickson,
Leif Erickson,1911
John Ericson,1927
Krista Errickson,
Leon Errol,1881
Howard Erskine,
Stuart Erwin,1903
Carl Esmond,1905
Jill Esmond,1908
David Essex,1947
Emilio Estevez,
Shari Eubank,
Barry Evans,1945
Clifford Evans,1912
Dale Evans,1912
Dame Edith Evans,1888
Gene Evans,1922
Linda Evans,1943
Maurice Evans,1901
Michael Evans,
Rex Evans,1903
Robert Evans,1930
Judith Evelyn,1913
Barbara Everest,1890
Chad Everett,1937
Trish Everly,
Jason Evers,1922
John Ewart,
Tom Ewell,1909
Richard Eyer,
William Eythe,1918
Francoise Fabian,1935
Fabio,1961
Nanette Fabray,1920
Aldo Fabrizi,1905
Douglas Fairbanks~sr,1883
Douglas Fairbanks~jr.,1909
Sydney Fairbrother,1873
Morgan Fairchild,1950
Adam Faith,1940
Eduardo Fajardo,
Lola Falana,
Fabray Falconetti,
Peter Falk,1927
Deborah Fallender,
Dennis Lee Falt,
Sergio Fantoni,1930
Daniel Faraldo,
Amy Farber,
Maria Farebrother,
Violet Farebrother,
James Farentino,1938
Antonio Fargas,
Chris Farley,1964
Frances Farmer,1914
Mimsy Farmer,1945
Richard Farnsworth,
Dustin Farnum,
Franklyn Farnum,1876
William Farnum,1876
Derek Farr,1912
Felicia Farr,
Jamie Farr,
Derek Farr,
David Farrar,1908
Geraldine Farrar,1882
Charles Farrell,1901
Charles Farrell,1901
Glenda Farrell,1904
Nick Farrell,
Sharon Farrell,
Mia Farrow,1945
Stephanie Farrow,
Tisa Farrow,
Rainer Fassbinder,1945
Graham Faulkner,
James Faulkner,
Farrah Fawcett,1947
Michelle Fawden,
Alice Faye,1912
Frank Faylen,1907
Louise Fazenda,1895
Lynne Federicks,
Birgitte Federspiel,
Bekim Fehmiu,1932
Frances Feist,
Fritz Feld,1900
Marty Feldman,1933
Barbara Feldon,1939
Tovah Feldshuh,
Maria Felix,1915
Norman Fell,1928
Rockliffe Fellowes,1885
Edith Fellows,1923
Hansjoerg Felmy,1931
Verna Felton,1890
Sherilyn Fenn,1965
Sylvie Fennec,
Willie Fennell,
Frank Fenton,1906
Irine Fenwick,
Pamelyn Ferdin,
Elsie Ferguson,1883
Frank Ferguson,1899
J. Don Ferguson,
Jane Ferguson,
Fernandel,1903
Wilhelmina Fernandez,
Conchata Ferrell,1943
Jose Ferrer,1909
Mel Ferrer,1917
Benoit Ferreux,1955
Noel Ferrier,
Lou Ferrigno,
Gabrielle Ferzetti,1925
Stepin Fetchit,1898
Edwige Feuillere,1907
Lewis Fiander,1938
John Fiedler,1925
Betty Field,1918
Karen Field,
Mary Field,1905
Sally Field,1946
Shirley Anne Field,1938
Sid Field,1904
Virginia Field,1917
Edward Fielding,
Fenella Fielding,1930
Margaret Fielding,
Marjorie Fielding,1892
Charles Fields,
Gracie Fields,1898
W.C. Fields,
Tom Filer,
Dennis Fimple,
Flora Finch,1869
Jon Finch,1941
Peter Finch,1916
Larry Fine,1911
T.G. Finkbinder,
Frank Finlay,1926
James Finlayson,1877
William Finley,
Warren Finnerty,
Albert Finney,1936
Shirley Jo Finney,
Elena Fiore,
Eddie Firestone,
Peter Firth,1953
Frances Fisher,1952
O.W. Fischer,1915
Larry Fishburne,
Carrie Fisher,1956
Cindy Fisher,
Eddie Fisher,1928
Frances Fisher,
Minnie Maddern Fiske,1866
Barry Fitzgerald,1888
Ella Fitzgerald,1918
Geraldine Fitzgerald,1912
Walter Fitzgerald,1896
Paul Fix,1901
Fannie Flagg,
Steve Flagg,
Kirsten Flagstad,1895
Ed Flanders,1934
Susan Flannery,1943
James Flavin,1906
Rhonda Fleming,1922
Cyril Fletcher,1913
Louise Fletcher,1936
Jay C. Flippen,1898
"George ""Buck"" Flower",
Darlanne Fluegel,1958
Joel Fluellen,
Errol Flynn,1909
Joe Flynn,1924
Sean Flynn,1941
Nina Foch,1924
Bridget Fonda,1964
Henry Fonda,1905
Jane Fonda,1937
Peter Fonda,1939
Leo Fong,
Joan Fontaine,1917
Genevieve Fontanel,
Margot Fonteyn,
Dick Foran,1910
Bryan Forbes,1926
Mary Forbes,1882
Ralph Forbes,1902
David Ford,
Dorothy Ford,1923
Francis Ford,1883
Glenn Ford,1916
Harrison Ford,1917
Paul Ford,1901
Wallace Ford,1897
Deborah Foreman,
Mark Forest,1933
George Formby,1905
Frederic Forrest,
Mike Forrest,
Steve Forrest,1924
Constance Forslund,
Robert Forster,1942
Rudolph Forster,1884
Bruce Forsyth,1927
Rosemary Forsyth,1944
Henderson Forsythe,
John Forsythe,1918
Nick Apollo Forte,
Brigitte Fossey,1945
Barry Foster,1931
Dianne Foster,1928
Jodie Foster,1962
John Foster,
Julia Foster,1941
Meg Foster,
Norman Foster,1900
Phil Foster,
Preston Foster,1901
Robert Foster,
Susanna Foster,1924
Byron Foulger,1900
Susannah Fowle,
Harry Fowler,1926
Douglas Fowley,1911
Bernard Fox,
Edward Fox,1937
James Fox,1939
Michael J. Fox,1961
Sidney Fox,1910
William Fox,1879
Red Foxx,1922
Eddie Foy~jr.,1905
C.V. France,1868
Rolla France,
Victor Francen,1888
Anthony Franciosa,1928
Alec B. Francis,1869
Anne Francis,1930
Arlene Francis,1908
Connie Francis,1938
Eve Francis,
Ivor Francis,
Kay Francis,1899
Robert Francis,1930
James Franciscus,1934
Don Francks,1932
Jacques Francois,
Ben Frank,
Charles Frank,1910
Richard Frank,
Steve Franken,
Paul Frankeur,
Aretha Franklin,
Pamela Franklin,1949
James Franks,
Arthur Franz,1920
Eduard Franz,1902
Bill Fraser,
John Fraser,1931
Liz Fraser,1933
Richard Fraser,1913
Ronald Fraser,1930
William Frawley,1887
Robert Frazer,
Sheila Frazer,
Lynn Frederick,*
Pauline Frederick,1883
Vicki Frederick,
Alan Freed,
Bert Freed,
Paul Freedman,
Al Freeman~jr,1934
Amy Freeman,
Howard Freeman,1899
Kathleen Freeman,1919
Mona Freeman,1926
Paul Freeman,
Morna Freeman,
Morgan Freeman,
Leslie French,1899
Pierre Fresnay,1897
Bernard Fresson,1933
Leonard Frey,1938
Sauri Frey,
Jonathan Frid,1925
Blanche Friderici,1878
Steve Friedman,
John Friedrich,
Philip Friend,1915
Willy Fritsch,1901
Gert Frobe,1913
Gustav Froehlich,
Dominic Frontiere,1931
Dwight Frye,1899
Eric Fryer,
Alan Fudge,
Dale Fuller,
Dolores Fuller,
Lance Fuller,
Robert Fuller,1934
Fiona Fullerton,1955
Jessie Lee Fulton,
Annette Funicello,1942
Yvonne Furneaux,1928
Judith Furse,1912
Eddie Furlong,1977
Stephen Furst,
Will Fyffe,1884
Martin Gabel,1912
Jean Gabin,1904
Clark Gable,1901
John Clark Gable,1960
Eva Gabor,1921
Zsa Zsa Gabor,1917
Helen Gahagan,
Max Gail,
Charlotte Gainsbourg,*
Serge Gainsbourg,
Peter Gallagher,
Rita Gam,1940
Michael Gambon,
Robin Gammell,
Ken Gampu,
Abel Gance,
Bruno Ganz,
Teresa Ganzel,
Matthew Garber,1956
Greta Garbo,1905
Andres Garcia,
Carlos Gardel,1893
Vincent Gardenia,1922
Reginald Gardiner,1903
Ava Gardner,1922
Ed Gardner,1901
Allen Garfield,1939
John Garfield,1913
Art Garfunkel,
Ed Gargan,1902
William Gargan,1905
John Garko,
Beverly Garland,1926
Judy Garland,1922
James Garner,1928
Peggy Ann Garner,1931
Steve Garay,
Joaquin Garay~III,
Teri Garr,1952
" Jane Garofalo ",1965
Betty Garrett,1919
Eliza Garrett,
Leif Garrett,
Ellen Garrison,
John Garrick,1902
Greer Garson,1908
Jennie Garth,1972
Harold Gary,
Lorraine Gary,
Marie-Louise Gassen,
Vittoria Gassman,1922
Lisa Gastoni,1935
Larry Gates,1915
Nancy Gates,1926
Marjorie Gateson,1891
Alexander Gauge,1914
Mikkel Gaup,1973
Fernand Gavet,
Erica Gavin,
John Gavin,1928
Peter Gawthorne,1884
Gregory Gaye,1900
George Gaynes,
Janet Gaynor,1906
Mitzi Gaynor,1930
Ben Gazzara,1930
Michael Gazzo,
Ellen Geer,
Will Geer,1902
Judy Geeson,1948
Meg Gehrts,1891
Daniel Gelin,1921
Guiliano Gemma,1940
Laura Gemser,
Leo Genn,1905
Linda Gentile,
Chief Dan George,1899
Christopher George,1929
Gladys George,1900
Grace George,1879
Lynda Day George,1944
Muriel George,1883
Nathan George,
Rita George,
Susan George,1950
Carmelita Geraghty,
Gil Gerard,1943
Steve Geray,1904
Bill Gerber,
Richard Gere,1949
Flo Gerish,
Gene Gerrard,1892
Balthazar Getty,1975
John Getz,
Alice Ghostley,1926
Stathis Giallelis,1939
Giancarlo Giannini,1942
Judi Gibbs,
Colin Gibson,
Helen Gibson,1892
Henry Gibson,1935
Hoot Gibson,1892
Mel Gibson,1951
John Gielgud,1904
Stefan Gierasch,
Frank Gifford,
Gloria Gifford,
Billy Gilbert,1893
John Gilbert,1895
Melissa Gilbert,
Bruce Gilchrist,
Connie Gilchrist,1901
Jack Gilford,1907
Maude Gill,
Dana Gillespie,
Anita Gillette,
William Gillette,1855
Stu Gilliam,
Terry Gilliam,
Jean Gillie,1915
Claude Gillingwater,1870
Ann Gillis,1927
Margalo Gillmore,1897
Lowell Gilmore,1907
Virginia Gilmore,
Ian Gilmour,
Hermione Gingold,1897
Robert Ginty,
Annie Girardot,1931
Etienne Girardot,1856
Dorothy Gish,1898
Lillian Gish,1894
Kathryn Givney,1897
Anton Glanzelius,
Yves Glary,
Gil Glasco,
Paul Michael Glaser,1943
Sabine Glaser,
Ron Glass,
Jackie Gleason,1916
Jimmie Gleason,1886
Lucille Gleason,1886
Paul Gleason,
Russell Gleason,1908
Roy Glenister,
Roy Glenn,1901
Scott Glenn,1942
Sharon Gless,
Bruce Glover,
Crispin Glover,
Danny Glover,1947
John Glover,
Julian Glover,1935
Carlin Glynn,
Mary Glynne,1898
George Gobel,1919
Paulette Goddard,1911
Willoughby Goddard,1932
Peter Godfrey,1899
Jacques Godin,
Bernard Goetzke,
John Goff,
Norris Goff,1906
Gila Golan,1940
Whoopi Goldberg,1950
Jeff Goldblum,1952
Charles Goldner,1900
Lelia Goldoni,1938
Matt Goldsby,
Clio Goldsmith,
Bobcat Goldthwait,
Arlene Golonka,
Minna Gombell,1900
Thomas Gomez,1905
Peter Gonzales,
Michael Goodliffe,1914
Benny Goodman,1909
Dody Goodman,
Bill Goodwin,1910
Harold Goodwin,1917
Suki Goodwin,
Allen Goorwitz,
Leo Gorcey,1915
Colin Gordin,
Bruce Gordon,1919
C.~Henry Gordon,1882
Colin Gordon,1911
Dexter Gordon,
Don Gordon,
Gale Gordon,1905
Keith Gordon,
Leo Gordon,1922
Mary Gordon,1882
Robert Gordon,
Ruth Gordon,1896
Marius Goring,1912
Cliff Gorman,1936
Lynee Gorman,
Karen Gorney,
Frank Gorshin,1935
Marjoe Gortner,1941
Lou Gossett,1936
Lou Gossett~jr.,
Walter Gotell,
Ferdinand Gottschalk,1869
Jetta Goudal,1898
Michael Gough,1917
Elliott Gould,1938
Harold Gould,1923
Jason Gould,
Robert Goulet,1933
Michael Gover,
Gibson Gowland,1872
Harry Goz,
Patricia Gozzi,1950
Betty Grable,1916
Nickolas Grace,
Gerrit Graham,
Gloria Grahame,1924
Margot Grahame,1911
Alexander Granach,1890
Farley Granger,1928
Stewart Granger,1913
Cary Grant,1904
Kathryn Grant,1933
Lawrence Grant,1870
Lee Grant,
Richard E. Grant,
Bonita Granville,1923
Charley Grapewin,1869
Peter Graves,1925
Peter Graves,1911
Fernand Gravet,1904
Billy Gray,1940
Charles Gray,1928
Colleen Gray,1922
Dolores Gray,1924
Erin Gray,
Joel Gray,
Nadia Gray,1923
Sally Gray,1916
Kathryn Grayson,1922
Juliette Greco,1927
Danny Green,1903
Gilbert Green,
Keith Green,
Marika Green,
Martyn Green,1899
Nigel Green,1924
Seth Green,
Graham Greene,1904
H.Richard Greene,
Leon Green,
Lorne Greene,1915
Mean Joe Greene,
Michael Greene,
Richard Greene,1914
Raymond Greenleaf,1892
Sidney Greenstreet,1879
Charlotte Greenwood,1890
Joan Greenwood,1921
John Greenwood,1889
Jane Greer,1924
Clare Greet,
Everley Gregg,1898
Nora Gregor,1890
Andre Gregory,
Celia Gregory,
Dora Gregory,
James Gregory,1911
Mark Gregory,
John Gregson,1919
Robert Greig,1880
Joyce Grenfell,1910
Anne Grey,
Jennifer Grey,1960
Joel Grey,1932
Lita Grey,1909
Nan Grey,1918
Virginia Grey,1917
Robert Grieg,
Helmut Griem,
David Alan Grier,
Pam Grier,1949
Rosie Grier,
Ethel Griffies,1878
Andy Griffith,1926
Corinne Griffith,1898
Hugh Griffith,1912
Kenneth Griffith,1921
Kirstin Griffith,
Melanie Griffith,1957
Simone Griffith,
Tracy Griffith,
Jane Griffiths,1929
Ele Grigsby,
Dan Grimaldi,
Gary Grimes,1955
Jonathan Griss,
Claire Griswold,
George Grizzard,1925
Charles Grodin,1935
Ake Groenberg,
Herbert Gronemeyer,
Sam Groom,
Muriel Gross,
Linda Grovenor,
Gustav Grundgens,
Oliver Gruner,1960
Dominic Guard,1925
Harry Guardino,1925
Francois Guerin,
Ruy Guerra,
Christopher Guest,
Lance Guest,
Nicholas Guest,
Nancy Guild,1925
Paul Guilfoyle,1902
Jack Guilford,
Robert Guillaume,
Fernando Guill\'en,
Alec Guinness,1914
Clu Gulager,1929
Moses Gunn,1929
Robert Gunner,
Sigrid Gurie,1911
Ray Guth,
Steve Guttenberg,
The Little Tough Guys,n.a.
Edmund Gwenn,1875
Jack Gwillin,
Anne Gwynne,1918
Fred Gwynne,1927
Michael Gwynne,1916
Peter Gwynne,
Greta Gynt,1916
James Haake,
Dolly Haas,1910
Hugo Haas,1901
Buddy Hackett,1924
Joan Hackett,1934
Raymond Hackett,1902
Gene Hackman,1930
Sayle Haddon,
Sara Haden,1897
Reed Hadley,1911
Jean Hagen,1924
Ross Hagen,
Julie Hagerty,
Merle Haggard,
Dan Haggerty,
Brahim Haggiag,
Larry Hagman,1930
Gisela Hahn,
Charles Haid,
Sig Haig,
Kenneth Haigh,1929
Ron Haines,
William Haines,1900
Alan Hale,1892
Alan Hale~jr.,1918
Barbara Hale,1922
Creighton Hale,1882
Jonathan Hale,1892
Louise Closser Hale,1872
Monte Hale,1919
Richard Hale,1893
Robert Hale,
Sonnie Hale,1902
Jackie Earle Haley,
Jack Haley,1899
H.B. Halicki,
Albert Hall,
Anthony Michael Hall,1968
Huntz Hall,1920
James Hall,1900
Jerry Hall,1957
Jon Hall,1913
Juanita Hall,1901
Porter Hall,1888
Thurston Hall,1883
Ray Hallam,[1]1905
May Hallatt,1882
Lillian HallDavis,
John Halliday,1880
Billy Halop,1920
Brett Halsey,
Charles Halton,1876
Mie Hama,
Veronica Hamel,
Rusty Hamer,1947
Mark Hamill,1952
Bernie Hamilton,
George Hamilton,1939
John Hamilton,1886
Linda Hamilton,
Margaret Hamilton,1902
Murray Hamilton,1923
Neil Hamilton,1899
Suzanne Hamilton,
Harry Hamlin,1951
Ben Hammer,
Kay Hammond,1909
Walter Hampden,1879
Susan Hampshire,1938
James Hampton,
Master Bong Soo Han,
Miyi Hana,
Irene Handl,1902
Lloyd Hanes,
Carol Haney,1928
Tom Hanks,1956
Jenny Hanley,1947
Jimmy Hanley,1918
Mie Hanna,
Darryl Hannah,
Lawrence Hanray,1874
Lars Hansen,1887
Patti Hansen,
Haya Harareet,1934
James Harcourt,
Jerry Hardin,
Ty Hardin,
Ann Harding,1902
Lyn Harding,
Karl Hardman,
Cedric Hardwicke,1893
Oliver Hardy,1892
Robert Hardy,1925
Lumsden Hare,1875
Robertson Hare,1891
Dorian Harewood,1950
John Hargreaves,
Gordon Harker,1885
Jean Harlow,1911
Deborah Harmon,
Mark Harmon,1951
Jessica Harper,1955
Ron Harper,
Tess Harper,
Valerie Harper,1940
William Harrigan,1894
Pat Harrington,
Aaron Harris,
Anita Harris,
Barbara Harris,1936
Brad Harris,
Cassandra Harris,1952
Ed Harris,
Joann Harris,
Jonathan Harris,1914
Julie Harris,1925
Julius W. Harris,
Leigh Harris,
Leonard Harris,
Lynette Harris,
M.K. Harris,
Phil Harris,1904
Richard Harris,1932
Robert Harris,1900
Robert H. Harris,1911
Rosemary Harris,1930
Cathryn Harrison,
George Harrison,
Gregory Harrison,
Jenilee Harrison,
Kathleen Harrison,1898
Linda Harrison,1945
